,VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
6366,1,41,0,1,1,0,0,1,Carabayllo
6368,1,10,0,0,1,1,0,1,Carabayllo
6370,1,15,0,0,1,0,0,1,Carabayllo
6372,1,14,0,0,1,0,0,0,Carabayllo
6373,1,14,0,0,1,0,0,0,Carabayllo
6374,1,15,0,0,1,1,0,1,Carabayllo
6375,1,15,0,0,1,1,0,1,Carabayllo
6376,1,15,0,0,1,1,0,1,Carabayllo
6377,1,44,0,1,1,0,1,1,Carabayllo
6378,1,34,0,1,1,0,0,1,Carabayllo
6379,1,34,0,1,1,0,0,1,Carabayllo
6380,1,0,0,0,1,0,0,1,Carabayllo
6381,1,49,0,1,1,0,0,1,Carabayllo
6383,1,22,1,1,1,0,0,1,Carabayllo
6384,1,24,0,1,1,0,1,0,Carabayllo
6385,1,27,0,1,1,0,0,0,Carabayllo
6388,1,1,0,0,1,0,0,1,Santa Anita
6389,1,15,0,0,1,0,0,1,Comas
6390,1,15,0,0,1,0,0,1,Comas
6391,1,15,0,0,1,0,0,1,Comas
6392,1,18,0,0,1,0,0,1,Carabayllo
6393,1,18,0,0,1,0,0,1,Carabayllo
6394,1,18,0,0,1,0,0,1,Carabayllo
6395,1,18,0,0,1,0,0,1,Carabayllo
6396,1,36,0,1,1,0,0,1,Carabayllo
6397,1,9,0,0,1,1,0,1,Carabayllo
6398,1,9,0,0,1,1,0,1,Carabayllo
6399,1,9,0,0,1,1,0,1,Carabayllo
6400,1,9,0,0,1,1,0,1,Carabayllo
6401,1,41,0,1,1,0,0,1,Carabayllo
6402,1,21,0,0,1,0,1,0,Carabayllo
6403,1,30,0,1,1,0,0,1,Carabayllo
6404,1,7,0,0,1,1,0,1,Carabayllo
6405,1,21,0,1,1,0,1,1,Carabayllo
6406,1,10,0,0,1,1,0,1,Carabayllo
6407,1,10,0,0,1,1,0,1,Carabayllo
6408,1,10,0,0,1,1,0,1,Carabayllo
6409,1,10,0,0,1,1,0,1,Carabayllo
6418,1,19,0,0,1,0,0,1,Carabayllo
6419,1,19,0,0,1,0,0,1,Carabayllo
6420,1,15,0,0,1,0,0,1,Carabayllo
6421,1,15,0,0,1,0,0,1,Carabayllo
6422,1,32,0,1,1,0,0,1,Carabayllo
6423,1,10,0,0,1,0,0,0,Carabayllo
6424,1,11,0,0,1,0,0,1,Carabayllo
6425,1,11,0,0,1,0,0,1,Carabayllo
6428,1,6,0,0,1,0,0,0,Carabayllo
6429,1,6,0,0,1,0,0,0,Carabayllo
6430,1,3,0,0,1,0,0,0,Carabayllo
6431,1,3,0,0,1,0,0,0,Carabayllo
6432,1,31,0,0,1,0,0,0,Carabayllo
6433,1,40,0,0,1,0,0,1,Carabayllo
6436,1,13,0,0,1,1,0,1,Carabayllo
6437,0,23,0,0,1,0,0,0,Carabayllo
6438,1,6,0,0,1,1,0,1,Carabayllo
6439,1,6,0,0,1,1,0,1,Carabayllo
6440,1,6,0,0,1,1,0,1,Carabayllo
6441,1,41,0,0,1,0,1,1,Carabayllo
6442,1,41,0,0,1,0,1,1,Carabayllo
6444,1,74,0,0,1,0,0,0,Carabayllo
6445,1,14,0,0,1,0,0,1,Carabayllo
6446,1,38,0,0,1,0,0,0,Carabayllo
6447,1,22,0,0,1,0,0,1,Carabayllo
